Author(s),Title,Year,Subject
Lothar Roos; Manfred Spieker; Werner Münch,Benedikt XVI. und die Weltbeziehung der Kirche,2015,Religious & spiritual leaders
Klaus von Stosch; Rita Burrichter; Georg Langenhorst; Klaus von Stosch (Editors),Komparative Theologie: Herausforderung für die Religionspädagogik,2015,Religious instruction
Marco Bonacker,Zwischen Genese und Geltung,2016,Philosophy
Andreas Weiß,Asiaten in Europa,2016,Social & cultural history
Rudolf Morsey,Fritz Gerlich (1883-1934),2016,"Biography: historical, political & military"
Marianne Heimbach-Steins; Thomas Schüller; Judith Wolf (Editors),Katholische Krankenhäuser – herausgeforderte Identität,2017,Religious institutions & organizations
Cordula Gdaniec; Mischa Gabowitsch; Ekaterina Makhotina (Editors),Kriegsgedenken als Event,2017,Social & cultural anthropology
Rainer Maria Kardinal Woelki; Christian Hillgruber; Giovanni Maio; Christoph von Ritter; Manfred Spieker (Authors); Elmar Nass; Lothar Roos; Christian Müller; Johannes Zabel OP (Editors),Wie wollen wir sterben?,2016,Medical ethics & professional conduct
Matthias Cornils (Author); Matthias Cornils (Volume Editor),Kommunikation der Internetverfassung,,E-commerce law
Christel Meier-Staubach; Andreas Schumann; Susanne Crewell; Julia B. Bolles-Wilson,Interdisziplinäres Plenum Wasser,2015,Energy industries & utilities
Karsten Junk,Der menschliche Geist und sein Gottesverhältnis bei Augustinus und Meister Eckhart,2016,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Reinhold Aschenberg; Hans Wagner (Authors); Reinhold Aschenberg (Volume Editor),Kleinere Schriften IV – Abhandlungen zur Philosophie nach Kant,2017,Philosophy
Wolfram Buchwitz; Clarissa Blume-Jung (Authors); Clarissa Blume-Jung; Wolfram Buchwitz (Editors),Alter und Gesellschaft,2016,Population & demography
Esther Abel,Kunstraub – Ostforschung – Hochschulkarriere,2016,History
Achim Eberspächer,Das Projekt Futurologie,2019,20th century history: c 1900  to c 2000
Nedim Zahirovi? (Volume Editor),The Register of Ottoman-Venetian Diplomatic Affairs at Leipzig University Library (1625–1640),2020,European history
Thomas Mikhail,Kant als Pädagoge,2017,Philosophy & theory of education
Christian Stoll,Die Öffentlichkeit der Christus-Krise,2017,Christianity
Sabine Doering-Manteuffel; Angela Treiber; Daniel Drascek; Heidrun Alzheimer (Editors),Jahrbuch für Europäische Ethnologie Dritte Folge 11–2016,2016,Ethnic studies
Gian Franco Chiai,"Troia, la Troade ed il Nord Egeo nelle tradizioni mitiche greche",2017,Ancient history: to c 500 CE
Karl-Günter Zelle,Mit Hitler im Gespräch,2017,European history
Steffen Wittig,Die Ludifizierung des Sozialen,2018,Philosophy: logic
Lothar Fritze,Kritik des moralischen Universalismus,2017,Ethics & moral philosophy
Winfried Böhm; Sabine Seichter; Ernesto Schiefelbein,Projekt Erziehung,2017,Education
Anton Rauscher,Die soziale Verantwortung der Christen,2017,Christianity
Stefan Knödler; Dietmar Till; Mario Gotterbarm (Editors),Sonett-Gemeinschaften,2019,Literary studies: poetry & poets
Elmar Nass; Christian Müller; Johannes Zabel OP (Editors),Naturrecht und Moral in pluralistischer Gesellschaft,2017,Christianity
Cordula Obergassel,Das ist doch keine Kunst!,2017,Social & cultural history
Markus Stein,Manichaica Latina,2016,Archaeology
Andrzej Kucinski,Naturrecht in der Gegenwart,2017,Christianity
Oswald Freudenreich; Ulrich Konrad (Editors),Kirchenmusikalisches Jahrbuch - 99. Jahrgang 2015,2017,Sacred & religious music
Riccardo Nicolosi; Brigitte Obermayr; Nina Weller (Editors),Interventionen in die Zeit,2019,History
Anette Blaschke,Zwischen »Dorfgemeinschaft« und »Volksgemeinschaft«,2018,Social & cultural history
Thomas A. Weitz; Matthias Pulte (Editors),Veritas vos liberabit,2017,"Roman Catholicism, Roman Catholic Church"
Wilhelm von Humboldt (Author); Jürgen Trabant; Bettina Lindorfer (Editors),Von den Sprachen Amerikas zum allgemeinen Typus der Sprache,2017,Linguistics
Stephanie Mian,Lernen zwischen Gewohnheit und Leidenschaft,2019,Philosophy & theory of education
Matthias Frese; Marcus Weidner (Editors),Verhandelte Erinnerungen,2017,Museums & museology
