Author(s),Title,Year,Subject
Karl Gabriel; Christian Spieß; Katja WinklerKarl Gabriel; Christian Spieß; Katja Winkler (Editors),Katholizismus zwischen Religionsfreiheit und Gewalt,2012,"Roman Catholicism, Roman Catholic Church"
Frank Jacob; Kenneth Pearl (Editors),War and Memorials,2019,Second World War
Jeffrey M Shaw; Frank Jacob; Timothy J. Demy; Jeffrey M. Shaw (Editors),War and the Humanities,2019,First World War
Winfried Heinemann; Lothar Höbelt; Ulrich Lappenküper (Editors),Der preußisch-österreichische Krieg 1866,2018,Military history
Martin Nettesheim,Liberaler Verfassungsstaat und gutes Leben,2017,Constitution: government & the state
Marco Bonacker; Gunter Geiger (Editors),Grenzen – der demokratische Rechtsstaat und die Herausforderung der Migration,2018,Regional government
Oswald Freudenreich; Ulrich Konrad (Editors),Kirchenmusikalisches Jahrbuch - 100. Jahrgang 2016,2017,Sacred & religious music
Natalia Vega Navarrete; Natalia Vega Navarrete,Die Acta Alexandrinorum im Lichte neuerer und neuester Papyrusfunde,2017,History: theory & methods
Zishan Ahmad Ghaffar,Der historische Muhammad in der islamischen Theologie,2018,History of religion
P. Johannes Cornides,Corpus Christi,2018,Christian sacraments
Bernhard Nitsche; Florian Baab (Editors),Dimensionen des Menschseins – Wege der Transzendenz?,2018,Western philosophy: Enlightenment
Marianne Heimbach-Steins; Saskia Wendel; Martin Baumeister; Michael Böhnke (Editors),Menschenrechte in der katholischen Kirche,2018,"Roman Catholicism, Roman Catholic Church"
Kirsten John-Stucke; Daniela Siepe (Editors),Mythos Wewelsburg,2015,Castles & fortifications
Klaus von Stosch; Saskia Wendel; Aaron Langenfeld; Martin Breul (Editors),Streit um die Freiheit,2019,Philosophy
York-Gothart Mix (Volume Editor),Philipp Otto Runge – Briefe 1804-1810,2021,"Diaries, letters & journals"
Ulrich Lappenküper,Bismarck und Frankreich 1815 bis 1898,2019,General & world history
Monika Friedrich,Der interpretative Ansatz in der Devianzsoziologie,1986,Social & political philosophy
Herman Coenen,Diesseits von subjektivem Sinn und kollektivem Zwang. Schütz - Durkheim - Merleau-Ponty,1985,Philosophy
Michael Walter; Karl Ludwig Pfeiffer (Editors),Kommunikationsformen als Lebensformen,1990,Philosophy
Gunter Gebauer,Letzte Begründung,1993,Philosophy
Willem van Reijen,Die authentische Kritik der Moderne,1994,Philosophy
Josef Kopperschmidt; Helmut Schanze (Editors),"Nietzsche oder ""Die Sprache ist Rhetorik""",1994,Philosophy
Johann Kreuzer,Pulchritudo,1995,Philosophy
Willi Paul Oelmüller,Philosophische Aufklärung,1994,Philosophy
Martin W. Schnell,Phänomenologie des Politischen,1995,Philosophy
Margret Lohmann,Philosophieren in der Endzeit,1996,Philosophy
Martin Stingelin,Unsere ganze Philosophie ist Berichtigung des Sprachgebrauchs,1996,Philosophy
Dietmar Kamper,Abgang vom Kreuz,1996,Philosophy
Elisabeth Strowick; Michael Schödlbauer; Ursula Brucks (Editors),Metamorphosen der Arbeit,1996,Philosophy
Dietmar Kamper,Ästhetik der Abwesenheit,1999,Philosophy: aesthetics
Norbert Bolz,Das konsumistische Manifest,2002,Sociology: sport & leisure
Marc Rölli (Volume Editor),Ereignis auf Französisch,2004,Philosophy: metaphysics & ontology
Hannah Baader,Das Selbst im Anderen,2015,The arts: general issues
Karlheinz Stierle,Das große Meer des Sinns,2007,Literary studies: general
Michael Mayer,Humanismus im Widerstreit,2012,Philosophy: aesthetics
Michaela Ott; Dieter Mersch (Editors),Kunst und Wissenschaft,2007,Theory of art
Edith Düsing,Nietzsches Denkweg,2006,Philosophy
Andris Breitling,Möglichkeitsdichtung - Wirklichkeitssinn,2007,History: theory & methods
Maja Naef (Author); Gottfried Boehm; Achatz von Müller; Gabriele Brandstetter; Achatz von Müller (Editors),Figur und Figuration,2007,Theory of art
Sandra Mühlenberend,Surrogate der Natur,2007,The arts: general issues
Werner Faulstich (Volume Editor),Beziehungskulturen,2007,Cultural studies
Sebastian Egenhofer,Abstraktion - Kapitalismus - Subjektivität,2008,History of art / art & design styles
Günther Ortmann; Marianne Schuller; Hugo Schmale (Editors),Wissen/Nichtwissen,2009,Philosophy: epistemology & theory of knowledge
Elisabeth Strowick,Sprechende Körper - Poetik der Ansteckung,2009,Literary theory
Iris Därmann; Christoph Jamme (Editors),Kulturwissenschaften,2007,Cultural studies
Peter Strasser; Peter Strasser,Dunkle Gnade,2007,Jurisprudence & philosophy of law
Kristin Marek,Die Körper des Königs,2009,History of art / art & design styles
Katja Schumann; Knut Hickethier (Editors),Die schönen und die nützlichen Künste,2007,Media studies
Hubert Roland; Marianne Kröger (Editors),Carl Einstein im Exil / Carl Einstein en exil,2007,Social & cultural history
Christian Moser; Jörg Dünne (Editors),Automedialität,2008,Literary studies: general
Michael Makropoulos,Theorie der Massenkultur,2008,Philosophy
Peter Strasser,Warum überhaupt Religion?,2008,Philosophy of religion
Götz Grossklaus; Götz Großklaus,Der mediale Sinn der Botschaft,2008,Philosophy
Jens Roselt,Phänomenologie des Theaters,2008,Theatre studies
Hildegard K. Vieregg; Hildegard K. Vieregg,Geschichte des Museums,2008,Museums & museology
Wolfgang Ludwig Schneider; Rainer Greshoff; Georg Kneer (Editors),Verstehen und Erklären,2008,Cultural studies
Iris Wien,Joshua Reynolds,2009,Theory of art
Markus Buschhaus; Beat Wyss (Editors),Den Körper im Blick,2008,Philosophy
Ingo Berensmeyer (Volume Editor),Mystik und Medien,2008,Social & cultural anthropology
Bernd Neumann,Franz Kafka,2008,"Literary studies: fiction, novelists & prose writers"
Ansgar Köb; Matthias Wemhoff; Jörg Jarnut (Editors),Bischöfliches Bauen im 11. Jahrhundert,2009,Archaeology by period / region
Anja Hänsch; Micha Brumlik; Christoph Wulf (Editors),Das Imaginäre der Geburt,2008,Cultural studies
Holt Meyer; Rudolf Helmstetter; Daniel Müller-Nielaba; Daniel Müller Nielaba (Editors),Schiller,2009,Literary studies: general
Lisa Regazzoni,Selektion und Katalog,2008,Literary studies: general
Susanne Kaul; Jean-Pierre Palmier,Stanley Kubrick,2010,"Films, cinema"
Claus Stieve,Von den Dingen lernen,2008,Philosophy & theory of education
Friedrich Hermanni; Jana Koslowski; Peter Koslowski (Editors),Endangst und Erlösung 1,2009,Philosophy of religion
Martin Knauer; Jens Jäger (Editors),Bilder als historische Quellen?,2009,History of science
Ester Kilchmann; Esther Kilchmann,Verwerfungen in der Einheit,2009,Literary studies: general
Friedrich Kittler,Musik und Mathematik I,2009,Theory of music & musicology
Hubert Burda (Author); Wolfgang Ullrich (Volume Editor),Mediale Wunderkammern,2008,Media studies
Dietger Langer,Polnische Literaturgeschichte,2010,Literary studies: general
Arne Zerbst; Hannes Böhringer (Editors),Die tätowierte Wand,2009,Theory of architecture
Jens Schneider; Matthias Wemhoff; Nicola Karthaus; Jörg Jarnut; Susanne Röhl; Stephan Müller (Editors),Deutsche Texte der Salierzeit - Neuanfänge und Kontinuitäten im 11. Jahrhundert,2010,Literary studies: general
Hubert Roeder (Volume Editor),Das Erzählen in frühen Hochkulturen,2018,Social & cultural history
Georges Didi-Huberman,Wenn die Bilder Position beziehen,2011,Literary studies: general
Amy Diana Colin; Edith Silbermann (Authors); Amy-Diana Colin (Volume Editor),Czernowitz - Stadt der Dichter,2015,Judaism
Konrad von Mure (Author); Alexandru N. Cizek (Volume Editor),"Konrad von Mure, Novus Grecismus",2009,"Literary studies: classical, early & medieval"
Norbert Ricken; Klaus Schaller; Henning Röhr; Jörg Ruhloff (Volume Editors),Umlernen,2009,History of education
Klaus Garber,Arkadien,2009,Literary studies: general
Ralf Simon; Gottfried Boehm,Der poetische Text als Bildkritik,2009,Literary theory
Silvia Stoller,Existenz - Differenz - Konstruktion,2010,Social & political philosophy
Helmut Schanze,Goethe-Musik,2009,Literary studies: general
Guido M. Berndt (Author); Guido M. Berndt (Volume Editor),Vita Meinwerci episcopi Patherbrunnensis - Das Leben Bischof Meinwerks von Paderborn,2009,Historiography
Katharina Sykora,Die Tode der Fotografie II,2015,Photography & photographs
Hanno Ehrlicher,Zwischen Karneval und Konversion,2010,Literary studies: general
Viktoria Tkaczyk,Himmels-Falten,2011,History of engineering & technology
Hildegard Piegeler,Tarot,2010,Eclectic & esoteric religions & belief systems
Peter J. Bräunlein,Passion/Pasyon,2010,Christian sacraments
Sven Werkmeister,Kulturen jenseits der Schrift,2010,Cultural studies
Olaf Breidbach; Hartmut Rosa (Editors),Laboratorium Aufklärung,2010,Western philosophy: Enlightenment
Marius Rimmele,"Das Triptychon als Metapher, Körper und Ort",2010,Religious subjects depicted in art
Robert Hettlage; Karl Lenz,Projekt Deutschland,2013,Social issues & processes
Maja Naef,Zeichnung und Stimme,2011,"Individual artists, art monographs"
Fritz-Wilhelm Neumann,Ned Wards London,2012,Literary studies: general
Henning Arnecke; Judith Rottenburg (Editors),Re-Visionen der Moderne,2010,The arts: general issues
Elisabeth Weisser-Lohmann; Elisbeth Weisser-Lohmann,Rechtsphilosophie als praktische Philosophie,2011,Jurisprudence & philosophy of law
Arno Schubbach; Johannes Grave (Editors),Denken mit dem Bild,2010,Philosophy
Regine Strätling,Figurationen,2012,Literary theory
Ulrike Gehring (Volume Editor),Die Welt im Bild,2010,Interdisciplinary studies
Arata Takeda,Ästhetik der Selbstzerstörung,2010,Literary studies: general
Andreas B. Kilcher; Philipp Theisohn (Editors),Die Enzyklopädik der Esoterik,2010,Eclectic & esoteric religions & belief systems
Carl Friedrich Gethmann; Stefan Huster (Editors),Recht und Ethik in der Präimplantationsdiagnostik,2010,Ethics & moral philosophy
Ralf Simon,Die Bildlichkeit des lyrischen Textes,2011,Literary studies: general
Gertrud Koch; Marc Siegel; Robin Curtis (Editors),Synchronisierung der Künste,2013,The arts: general issues
Ralph Häfner,Mysterien im Hain von Ariccia,2011,History of art / art & design styles
Burkhard Meyer-Sickendiek,Lyrisches Gespür,2012,Literary theory
Oliver Jahraus; Mario Grizelj (Editors),Theorietheorie,2011,Science: general issues
Christoph Jamme; Asta von Schröder; Asta von Schröder (Editors),Einsamkeit und Freiheit,2011,Educational strategies & policy
Peter Sloterdijk; Bazon Brock (Editors),Der Profi-Bürger,2011,Sociology
Ingeborg Reichle; Martina Baleva; Oliver Lerone Schultz (Editors),Image Match,2012,The arts: general issues
Maren Butte; Sabina Brandt (Editors),Bild und Stimme,2011,Theory of art
Kristiane Hasselmann (Volume Editor),Hidden Dimensions,2020,Social & cultural history
Achim Geisenhanslüke,Dummheit und Witz,2011,Literary studies: general
Norbert Bolz (Volume Editor),Wer hat Angst vor der Philosophie?,2012,Philosophy
Alfred Hirsch,Rousseaus Traum vom Ewigen Frieden,2012,Western philosophy: Enlightenment
Irmela Marei Krüger-Fürhoff,Verpflanzungsgebiete,2012,Literary studies: general
Martin Kroker; Matthias Wemhoff; Jörg Jarnut; Stephan Müller (Editors),Gräber im Kirchenraum,2015,Archaeology by period / region
Stephanie Marchal,Gustave Courbet in seinen Selbstdarstellungen,2012,"Individual artists, art monographs"
Mirko F. Schmidt,Der Anti-Detektivroman,2014,"Literary studies: fiction, novelists & prose writers"
Sarah Fekadu,"Musik in Literatur und Poetik des Modernism: Lowell, Pound, Woolf",2013,Literary studies: general
Nerina Santorius,Zerrbilder des Göttlichen,2012,History of art / art & design styles
Norbert Bolz,Das Gestell,2012,Philosophy
Carsten Winter; Matthias Karmasin (Editors),"Analyse, Theorie und Geschichte der Medien",2012,Media studies
Wolfgang Matzat; Gerhard Poppenberg (Editors),Begriff und Darstellung der Natur in der spanischen Literatur der Frühen Neuzeit,2012,Literary studies: general
Jan Assmann; Harald Strohm (Editors),Echnaton und Zarathustra,2012,History of religion
Robert Fajen,Die Verwandlung der Stadt,2013,Literary studies: general
Ino Augsberg; Sophie-Charlotte Lenski (Editors),Die Innenwelt der Außenwelt der Innenwelt des Rechts,2012,Law as it applies to other professions
Stefan Friedrich,Soziologie des Genozids,2012,Genocide & ethnic cleansing
Christiane Heibach (Volume Editor),Atmosphären,2012,Cultural studies
Jörn Glasenapp (Volume Editor),Michelangelo Antonioni,2012,"Films, cinema"
Sven Thorsten Kilian,Die Szene des Erzählens,2012,Literary studies: general
Olaf B. Rader; Jasmin Mersmann; Christian Kassung (Editors),Zoologicon,2012,Social & cultural history
Claudia Woldt,Normativität als linguistische Schnittstelle,2013,Semantics
Martin Doll; Oliver Kohns (Editors),Die imaginäre Dimension der Politik,2014,Cultural studies
Iuditha Balint; Sebastian Zilles (Editors),Literarische Ökonomik,2014,Literature: history & criticism
Emmanuel Alloa (Volume Editor),Erscheinung und Ereignis,2013,Theory of art
Oliver Müller (Author); Thiemo Breyer (Volume Editor),Grenzen der Empathie,2013,Philosophy
Urs Meyer; Reto Sorg; Lucas Marco Gisi (Editors),Medien der Autorschaft,2013,Literary theory
Christoph Wulf,Das Rätsel des Humanen,2013,Social & cultural history
Christoph Mühl,Rechtfertigungslehre und Gerechtigkeit Gottes in den ökumenischen Dialogen mit russisch-orthodoxer Beteiligung,,Cultural studies
Norman Kasper,Ahnung als Gegenwart,2014,Literary theory
Daniel Hornuff; Christian A. Bauer; Sebastian Baden (Editors),Formen der Kulturkritik,2018,Philosophy
Anna Maria Hauk; Jürgen Manemann; Yoko Arisaka; Volker Drell,Prophetischer Pragmatismus,2013,Philosophy
Andreas Wolfsteiner; Markus Rautzenberg (Editors),Trial and Error,2014,Media studies
Susan Taubes; Jacob Taubes (Authors); Christina Pareigis (Volume Editor),Die Korrespondenz mit Jacob Taubes 1952,2014,Social & cultural history
Jan Söffner,Metaphern und Morphomata,2015,Literary theory
David Espinet; Toni Hildebrandt (Editors),Suchen Entwerfen Stiften,2014,Philosophy: epistemology & theory of knowledge
Klaus Krüger; Margit Kern (Editors),Transcultural Imaginations of the Sacred,2019,Social & cultural history
Gertrud Koch; Christoph Möllers; Thomas Hilgers; Sabine Müller-Mall (Editors),Affekt und Urteil,2015,Philosophy: aesthetics
Michael Wetzel; Kikuko Kashiwagi-Wetzel (Editors),Interkulturelle Schauplätze in der Großstadt,2015,Urban communities
Michael Moxter; Nina Heinsohn (Editors),Enttäuschung,2017,Cultural studies
Sabrina Ebbersmeyer (Author); Sabrina Ebbersmeyer (Volume Editor),Der Briefwechsel zwischen Elisabeth von der Pfalz und René Descartes,2015,Philosophy
Peter Gendolla,Die Erfindung Italiens,2014,Literary studies: general
Kai Rugenstein,Humor,2014,Philosophy
Inka Mülder-Bach; Michael Ott (Editors),Was der Fall ist,2014,Religious issues & debates
Günter Blamberger; Ines Barner (Editors),Literator 2012: Sibylle Lewitscharoff,2014,Literary studies: general
Thomas Fuchs; Stefano Micali; Stefano Micali; Sonja Frohoff (Editors),Bilderfahrung und Psychopathologie,2014,Theory of art
Matthias Dreyer,Theater der Zäsur,2014,Ancient history: to c 500 CE
Olaf B. Rader,Hokuspokus,2015,Witchcraft
Ulrike Vedder; Katrin Solhdju (Editors),Das Leben vom Tode her,2015,Interdisciplinary studies
Ansgar Lorenz; Nektarios Ntemiris; René Lépine,Pierre Bourdieu,2014,Social & political philosophy
Sophie Wennerscheid,Close your eyes,2014,Literary studies: general
Klaus Birnstiel,Wie am Meeresufer ein Gesicht im Sand,2016,"Deconstructionism, Structuralism, Post-structuralism"
Christiane Voss; Lorenz Engell (Editors),Mediale Anthropologie,2015,Media studies
Kirsten von Hagen,Telefonfiktionen,2015,Literary studies: general
Christiane Heibach; Carsten Rohde (Editors),Ästhetik der Materialität,2015,Philosophy: aesthetics
Orlando Budelacci; Gottfried Boehm; Michael Renner; Maria Giuseppina Di Monte; Maria Giuseppina Di Monte (Editors),Gesicht und Identität / Face and Identity,2014,Philosophy
Klaus Krüger; Matthias Weiß; Christian Hammes (Editors),Kunst/Fernsehen,2016,Television
Achim Geisenhanslüke,Die Wahrheit in der Literatur,2015,Literary theory
David Bartosch,"Wissendes Nichtwissen oder ""gutes Wissen""?",2015,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
